Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,city,country,lat,lng
Pomerol 2011,France,Pomerol,Château La Providence,4.2,100,95.0,2011,Pomerol,France,44.9311234,-0.1999904
Lirac 2017,France,Lirac,Château Mont-Redon,4.3,100,15.5,2017,Lirac,France,44.0372,4.69136
Erta e China Rosso di Toscana 2015,Italy,Toscana,Renzo Masi,3.9,100,7.45,2015,Toscana,Italy,43.4586541,11.1389204
Bardolino 2019,Italy,Bardolino,Cavalchina,3.5,100,8.72,2019,Bardolino,Italy,45.5475595,10.7242145
Ried Scheibner Pinot Noir 2016,Austria,Carnuntum,Markowitsch,3.9,100,29.15,2016,Carnuntum,Austria,48.1141485,16.8657834
Gigondas (Nobles Terrasses) 2017,France,Gigondas,Vieux Clocher,3.7,100,19.9,2017,Gigondas,France,44.1641127,5.0051053
Marion's Vineyard Pinot Noir 2016,New Zealand,Wairarapa,Schubert,4.0,100,43.87,2016,Wairarapa,New Zealand,-41.2361798,175.2196902
Red Blend 2014,Chile,Itata Valley,Viña La Causa,3.9,100,17.52,2014,Itata Valley,Chile,-30.0,-71.0
Chianti 2015,Italy,Chianti,Castello Montaùto,3.6,100,10.75,2015,Chianti,Italy,43.5824597,11.3168731
Tradition 2014,France,Minervois,Domaine des Aires Hautes,3.5,100,6.9,2014,Minervois,France,43.2718,2.52099
Chianti Riserva 2013,Italy,Chianti,Poggiotondo,3.9,100,20.95,2013,Chianti,Italy,43.5824597,11.3168731
Descendant 2016,Australia,Barossa,Torbreck,4.3,100,140.64,2016,Barossa,Australia,-34.6134149,138.9385455
Les Obriers de la Peira Terrasses du Larzac 2017,France,Terrasses du Larzac,La Pèira en Damaisèla,4.1,100,14.52,2017,Terrasses du Larzac,France,43.7152761,3.4888802
Zenas Primitivo 2018,Italy,Puglia,La Bollina,3.6,100,9.26,2018,Puglia,Italy,40.9842539,16.6210027
Cuvée Confidence Côtes du Rhône Rouge 2017,France,Côtes-du-Rhône,Domaine Fond Croze,3.7,100,8.49,2017,Côtes-du-Rhône,France,44.7667285,4.8528701
Shiraz 2018,Australia,South Eastern Australia,Barramundi,3.2,100,6.5,2018,South Eastern Australia,Australia,-35.0085711,138.5726421
Proprietor's Blend 2016,South Africa,Stellenbosch,Ernie Els,4.2,100,29.09,2016,Stellenbosch,South Africa,-33.934444,18.869167
La Bienquerida 2016,Spain,Bierzo,Losada,4.3,100,41.58,2016,Bierzo,Spain,42.60645,-6.8097712
Cabernet Sauvignon 2015,United States,California,Hacienda,3.8,100,7.95,2015,California,United States,36.7014631,-118.755997
Fulgeo Negroamaro Salento 2016,Italy,Salento,San Donaci,4.0,100,12.9,2016,Salento,Italy,40.248604,15.190058
Contraste Tinto 2015,Portugal,Douro,Conceito,3.4,100,9.9,2015,Douro,Portugal,41.135684,-7.1166743
Steiner 2013,Hungary,Sopron,Weninger,3.7,100,24.5,2013,Sopron,Hungary,47.6803063,16.5983457
Old Vines Primitivo 2015,Italy,Puglia,Azienda Agricola Morella,4.2,100,38.7,2015,Puglia,Italy,40.9842539,16.6210027
Virtus Tannat 2013,Brazil,Serra Gaúcha,Monte Paschoal,2.9,100,6.77,2013,Serra Gaúcha,Brazil,-29.1551147,-51.5153447
Kallista 2015,South Africa,Stellenbosch,Vriesenhof,4.3,100,26.25,2015,Stellenbosch,South Africa,-33.934444,18.869167
Badia a Passignano Gran Selezione Chianti Classico 2016,Italy,Chianti Classico,Antinori,4.2,1000,39.9,2016,Chianti Classico,Italy,43.3930219,11.3088538
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2012,France,Saint-Émilion Grand Cru,Château Figeac,4.4,1000,174.49,2012,Saint-Émilion Grand Cru,France,44.847147,-0.547337
Carlo V Il Rosso dell'Imperatore 2013,Italy,Veneto,Colli Vicentini,3.7,1000,15.9,2013,Veneto,Italy,45.6476663,11.8665254
Pinot Noir 2016,United States,Monterey,District 7,3.6,1001,15.98,2016,Monterey,United States,36.2231079,-121.387742
Marquis de Calon Saint-Estèphe 2015,France,Saint-Estèphe,Château Calon-Ségur,3.9,1001,43.28,2015,Saint-Estèphe,France,45.5925,0.6633333
Hécula Monastrell 2017,Spain,Yecla,Castaño,3.3,1004,8.83,2017,Yecla,Spain,38.6135956,-1.1157882
Berola 2015,Spain,Campo de Borja,Borsao,3.9,1006,14.52,2015,Campo de Borja,Spain,41.7865415,-1.5058323
Saint-Julien (Grand Cru Classé) 2010,France,Saint-Julien,Château Léoville Poyferré,4.4,1008,189.0,2010,Saint-Julien,France,47.4019947,5.1364639
Pinot Noir Bourgogne 2017,France,Bourgogne,Faiveley,3.7,1009,15.9,2017,Bourgogne,France,49.3555104,4.0681417
Vigna del Noce Barbera d'Asti 2007,Italy,Barbera d'Asti,Trinchero,4.1,101,76.9,2007,Barbera d'Asti,Italy,44.8524808,8.2414532
I Tratturi Rosso 2017,Italy,Salento,San Marzano,3.8,101,7.04,2017,Salento,Italy,40.248604,15.190058
Château Pilet Bordeaux 2017,France,Bordeaux,J.Queyrens & Fils,3.6,101,6.5,2017,Bordeaux,France,44.841225,-0.5800364
Sancerre Rouge 2015,France,Sancerre,Comte Lafond,4.2,101,37.34,2015,Sancerre,France,47.3306906,2.8390454
Shiraz 2016,Australia,McLaren Vale,Food Truck,3.5,101,8.67,2016,McLaren Vale,Australia,-35.2172617,138.5416998
Ro-Rée Saint-Joseph 2018,France,Saint-Joseph,Louis Chèze,4.2,101,24.37,2018,Saint-Joseph,France,49.5344534,-1.529802
Cabernet Sauvignon 2015,South Africa,Stellenbosch,Big Flower,4.0,101,16.5,2015,Stellenbosch,South Africa,-33.934444,18.869167
Cuvée Alienor Fronsac 2015,France,Fronsac,Château Mayne-Vieil,3.7,101,16.47,2015,Fronsac,France,42.9509183,0.6487221
Sabbie di Sopra al Bosco 2014,Italy,Terre del Volturno,Nanni Copé,3.8,101,31.96,2014,Terre del Volturno,Italy,41.02317,13.92577
Roma Rosso 2018,Italy,Lazio,Poggio le Volpi,4.0,101,9.95,2018,Lazio,Italy,41.9808038,12.7662312
Garnacha de Arrayán 2014,Spain,Castilla y León,Arrayán,3.7,101,21.9,2014,Castilla y León,Spain,41.55005,-5.1387401
Cabernet Sauvignon 2018,Chile,Central Valley,Valdivieso,3.3,101,7.6,2018,Central Valley,Chile,-36.0,-72.0
Terrenus Vinhas Velhas Reserva 2013,Portugal,Alentejano,Rui Reguinga,4.1,101,27.95,2013,Alentejano,Portugal,38.8421261,-7.5871012
Fronsac 2005,France,Fronsac,Château Villars,3.8,101,25.95,2005,Fronsac,France,42.9509183,0.6487221
Cuvée Charles de Batz Madiran 2014,France,Madiran,Domaine Berthoumieu,3.7,101,14.09,2014,Madiran,France,43.5502022,-0.0580853
Stony Terrace Cabernet Sauvignon 2016,United States,Napa Valley,Rutherford Wine Company,3.8,101,18.03,2016,Napa Valley,United States,38.8484702,-94.413093
12 e Mezzo Puglia Primitivo Organic Wine 2016,Italy,Puglia,Varvaglione,3.9,101,9.4,2016,Puglia,Italy,40.9842539,16.6210027
El Abuelo Selección Edición Limitada 2013,Spain,Almansa,Bodegas Piqueras,4.2,101,10.95,2013,Almansa,Spain,38.8682065,-1.0978627
Sangre de Toro Special Selection 2017,Spain,Catalunya,Torres,3.6,101,8.9,2017,Catalunya,Spain,41.8523094,1.5745043
Château Paul Mas Coteaux du Languedoc Clos des Mures 2018,France,Languedoc,Paul Mas,3.8,101,11.05,2018,Languedoc,France,43.6796869,1.3966515
Merlot 2018,France,Pays d'Oc,Les Jamelles,3.6,101,5.36,2018,Pays d'Oc,France,43.604764,1.4540399
Roscaleto Barbera d'Alba 2015,Italy,Barbera d'Alba,Enzo Boglietti,3.9,101,31.18,2015,Barbera d'Alba,Italy,44.7712158,8.0435811
Barolo Cannubi 2014,Italy,Barolo,Giacomo Fenocchio,4.0,101,39.9,2014,Barolo,Italy,44.6108408,7.9428448
Pauillac (Premier Grand Cru Classé) 2017,France,Pauillac,Château Mouton Rothschild,4.6,101,633.62,2017,Pauillac,France,45.1995626,-0.7484994
Cabernet Sauvignon 2014,United States,Washington,Stimson Estate Cellars,3.3,101,8.29,2014,Washington,United States,38.8950368,-77.0365427
Côte-Rôtie Le Gallet Blanc 2017,France,Côte-Rôtie,Francois Villard,4.4,101,48.0,2017,Côte-Rôtie,France,44.7267925,-0.3900425
Capatosta 2015,Italy,Toscana,Poggio Argentiera,3.8,101,19.9,2015,Toscana,Italy,43.4586541,11.1389204
Constance Madiran 2015,France,Madiran,Domaine Berthoumieu,3.8,101,9.5,2015,Madiran,France,43.5502022,-0.0580853
Oak Cask Malbec 2019,Argentina,Mendoza,Trapiche,3.7,1010,7.36,2019,Mendoza,Argentina,-34.787093,-68.4381868
Amancaya Malbec - Cabernet Sauvignon 2017,Argentina,Mendoza,Caro (Catena and Rothschild),4.0,1010,16.8,2017,Mendoza,Argentina,-34.787093,-68.4381868
Laccento Ruché di Castagnole Monferrato 2017,Italy,Ruchè,Montalbera,4.0,1012,19.9,2017,Ruchè,Italy,45.6350879,10.494352
San Leonardo 2011,Italy,Vigneti delle Dolomiti,San Leonardo,4.3,1012,48.64,2011,Vigneti delle Dolomiti,Italy,46.38333,11.85
Fausto Tannat 2015,Brazil,Serra Gaúcha,Pizzato,3.6,1012,11.35,2015,Serra Gaúcha,Brazil,-29.1551147,-51.5153447
Pauillac (Grand Cru Classé) 2007,France,Pauillac,Château Pichon Baron,4.4,1014,119.0,2007,Pauillac,France,45.1995626,-0.7484994
Disciples 2016,United States,Napa Valley,The Crane Assembly,4.3,1014,53.61,2016,Napa Valley,United States,38.8484702,-94.413093
Zinfandel 2015,United States,Mendocino County,Bonterra,3.6,1015,16.75,2015,Mendocino County,United States,39.3176491,-123.4126399
Margaux 2010,France,Margaux,Château Labégorce,4.0,1016,40.95,2010,Margaux,France,45.0463335,-0.6729117
La Luna e i Falò Barbera d'Asti Superiore 2015,Italy,Barbera d'Asti,Vite Colte,3.8,1016,11.49,2015,Barbera d'Asti,Italy,44.8524808,8.2414532
Ribera del Duero 2015,Spain,Ribera del Duero,Garmón,4.2,1017,38.8,2015,Ribera del Duero,Spain,41.6657566,-3.6863295
Les Jardins Rouge 2018,France,Faugères,Saint Antonin,3.8,102,7.95,2018,Faugères,France,43.5648186,3.1901144
Nero d'Avola - Syrah 2018,Italy,Terre Siciliane,Roccaperciata,3.7,102,4.75,2018,Terre Siciliane,Italy,42.83333,12.83333
La Bienquerida 2013,Spain,Bierzo,Losada,4.1,102,35.97,2013,Bierzo,Spain,42.60645,-6.8097712
Bonera 2018,Italy,Terre Siciliane,Mandrarossa,3.7,102,9.5,2018,Terre Siciliane,Italy,42.83333,12.83333
Noi 4 Bolgheri 2016,Italy,Bolgheri,Tenuta dei Sette Cieli,4.0,102,23.5,2016,Bolgheri,Italy,43.2340065,10.6179334
Pinot Noir 2016,New Zealand,Marlborough,Clos Henri Vineyard,3.9,102,27.78,2016,Marlborough,New Zealand,-41.4744747,173.8330263
Saint-Émilion Grand Cru 2005,France,Saint-Émilion Grand Cru,Château Grand Barrail Lamarzelle Figeac,3.9,102,39.95,2005,Saint-Émilion Grand Cru,France,44.847147,-0.547337
Gran Selección Tempranillo 2017,Spain,Castilla,Viña San Juan,3.4,102,6.75,2017,Castilla,Spain,40.4763551,-3.6800358
Syrah 2017,South Africa,Paarl,Glen Carlou,3.9,102,18.25,2017,Paarl,South Africa,-33.7310282,18.9642117
Zweigelt 2017,Austria,Burgenland,Judith Beck,3.9,102,10.6,2017,Burgenland,Austria,47.5000001,16.4166666
Saint-Émilion Grand Cru 2015,France,Saint-Émilion Grand Cru,Château Vieux Clos St. Emilion,4.1,102,23.09,2015,Saint-Émilion Grand Cru,France,44.847147,-0.547337
Listán Negro 2017,Spain,Lanzarote,Bermejo,3.6,102,17.95,2017,Lanzarote,Spain,29.0397081,-13.6362916
Viile Metamorfosis Merlot 2015,Romania,Dealu Mare,Vitis Metamorfosis,3.5,102,7.5,2015,Dealu Mare,Romania,46.0417098,22.7959016
Merlot - Cabernet Sauvignon - Petit Verdot 2014,South Africa,Walker Bay,Creation,3.9,102,12.48,2014,Walker Bay,South Africa,-34.518515,19.2880206
RWT Shiraz 2017,Australia,Barossa Valley,Penfolds,4.4,102,229.0,2017,Barossa Valley,Australia,-34.5817132,138.9987872
Fronton 2018,France,Fronton,Château Bellevue La Forét,3.5,102,6.95,2018,Fronton,France,43.840295,1.390285
Costers Del Gravet Montsant 2013,Spain,Montsant,Capçanes,3.7,102,13.95,2013,Montsant,Spain,41.1171253,1.211005
Merlot 2018,Italy,Terre Siciliane,Cusumano,3.4,102,7.9,2018,Terre Siciliane,Italy,42.83333,12.83333
Pinot Noir 2015,Austria,Burgenland,Paul Achs,3.7,102,33.05,2015,Burgenland,Austria,47.5000001,16.4166666
Coume de l'Olla Rouge 2019,France,Vin de France,Matassa,4.1,102,16.96,2019,Vin de France,France,50.2767373,3.977096
Schwarzer 2017,Germany,Pfalz,Weingut Metzger,3.6,102,13.15,2017,Pfalz,Germany,53.8156324,13.3702287
Haut-Médoc 2015,France,Haut-Médoc,Château Beaumont,3.8,1020,17.36,2015,Haut-Médoc,France,45.1445995,-0.7357492
Bourgogne Pinot Noir (La Vignée) 2015,France,Bourgogne,Bouchard Père & Fils,3.6,1020,17.59,2015,Bourgogne,France,49.3555104,4.0681417
Pinot Noir 2017,South Africa,Hemel-en-Aarde Valley,Hamilton Russell Vineyards,4.2,1022,49.09,2017,Hemel-en-Aarde Valley,South Africa,-34.39455,19.22012
Zinfandel 2016,United States,California,Geyser Peak,3.7,1023,10.9,2016,California,United States,36.7014631,-118.755997
Valpolicella Ripasso Classico Superiore 2017,Italy,Valpolicella Ripasso Classico,Bolla,3.7,1024,15.5,2017,Valpolicella Ripasso Classico,Italy,42.83333,12.83333
Rosso di Montalcino 2015,Italy,Rosso di Montalcino,Castiglion del Bosco,3.9,1025,26.5,2015,Rosso di Montalcino,Italy,43.055612,11.3592953
Ripanço Private Selection Alentejano 2016,Portugal,Alentejano,José Maria da Fonseca,3.7,1026,8.6,2016,Alentejano,Portugal,38.8421261,-7.5871012
Riserva Cannonau di Sardegna 2017,Italy,Cannonau di Sardegna,Sella & Mosca,3.8,1027,10.66,2017,Cannonau di Sardegna,Italy,40.2568502,9.6218801
60 Sessantanni Old Vines Primitivo di Manduria 2016,Italy,Primitivo di Manduria,San Marzano,4.4,1028,17.24,2016,Primitivo di Manduria,Italy,40.4002788,17.6374622
Kith & Kin Cabernet Sauvignon 2017,United States,Napa Valley,Round Pond Estate,4.2,1028,38.5,2017,Napa Valley,United States,38.8484702,-94.413093
Zinfandel 2017,United States,California,Rombauer Vineyards,4.3,1029,34.12,2017,California,United States,36.7014631,-118.755997
Cerro Añon Rioja Gran Reserva 2011,Spain,Rioja,Bodegas Olarra,4.1,103,14.65,2011,Rioja,Spain,42.3285528,-2.4674917
Bush Vine GSM (Shiraz - Grenache - Mourvedre) 2013,Australia,McLaren Vale,Geoff Merrill,4.0,103,14.57,2013,McLaren Vale,Australia,-35.2172617,138.5416998
Plaer Vinyes Velles 2016,Spain,Priorat,Acustic Celler,4.1,103,26.18,2016,Priorat,Spain,41.2137983,0.8116236
Cabernet - Shiraz 2016,Spain,La Mancha,Añoranza,3.4,103,3.95,2016,La Mancha,Spain,28.3774367,-16.6977504
Saint-Émilion Grand Cru 2014,France,Saint-Émilion Grand Cru,Château La Confession,3.9,103,26.9,2014,Saint-Émilion Grand Cru,France,44.847147,-0.547337
Comte de Sénéjac Haut-Médoc 2011,France,Haut-Médoc,Château Sénéjac,3.7,103,16.83,2011,Haut-Médoc,France,45.1445995,-0.7357492
Gran Masetto Teroldego 2014,Italy,Trentino,Endrizzi,4.4,103,39.9,2014,Trentino,Italy,46.1029536,11.1297425
Barolo Mariondino 2015,Italy,Barolo,Parusso,4.1,103,39.9,2015,Barolo,Italy,44.6108408,7.9428448
Crianza 2016,Spain,Rioja,Berceo,3.6,103,9.9,2016,Rioja,Spain,42.3285528,-2.4674917
Apogee Pepper Bridge Vineyard 2013,United States,Walla Walla Valley,L'Ecole No 41,4.1,103,46.9,2013,Walla Walla Valley,United States,36.2399704,-112.2245586
Gamma Red Blend 2018,Spain,Navarra,Bodegas Piedemonte,3.4,103,6.15,2018,Navarra,Spain,42.6125488,-1.8307877
Peyres Nobles Rouge 2018,France,Corbières,Château Camplong,4.0,103,6.5,2018,Corbières,France,43.0547547,1.9970557
Lemartine Toscana 2015,Italy,Toscana,Poggio Antico,4.1,103,29.67,2015,Toscana,Italy,43.4586541,11.1389204
Organic Cabernet 2018,Australia,South Australia,Farm Hand,3.7,103,7.79,2018,South Australia,Australia,-30.5343665,135.6301212
Pomerol 1999,France,Pomerol,Château Nénin,4.1,103,240.0,1999,Pomerol,France,44.9311234,-0.1999904
Malterdinger Alte Reben Spätburgunder 2016,Germany,Baden,Bernhard Huber,4.1,103,38.69,2016,Baden,Germany,53.0023496,9.0820955
Cabernet Franc 2012,South Africa,Franschhoek,Anthonij Rupert,4.2,103,59.95,2012,Franschhoek,South Africa,-33.909167,19.119444
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2002,France,Saint-Émilion Grand Cru,Château Valandraud,4.4,103,193.02,2002,Saint-Émilion Grand Cru,France,44.847147,-0.547337
Bramare Rebon Vineyard Malbec 2017,Argentina,Mendoza,Viña Cobos,4.6,103,75.07,2017,Mendoza,Argentina,-34.787093,-68.4381868
Merlot Reserva 2008,Brazil,Vale dos Vinhedos,Pizzato,3.2,103,15.9,2008,Vale dos Vinhedos,Brazil,-29.1790429,-51.5789598
Brunello di Montalcino Pianrosso 2015,Italy,Brunello di Montalcino,Ciacci Piccolomini d'Aragona,4.4,103,66.29,2015,Brunello di Montalcino,Italy,43.3204995,11.3281859
François de Tournon Saint-Joseph 2016,France,Saint-Joseph,Delas,3.9,103,29.15,2016,Saint-Joseph,France,49.5344534,-1.529802
Estibals Minervois 2018,France,Minervois,L'Ostal Cazes,3.6,103,10.99,2018,Minervois,France,43.2718,2.52099
Barbera - Garnacha 2017,Chile,Maule Valley,Erasmo,3.5,103,12.62,2017,Maule Valley,Chile,-30.0,-71.0
Roi des Lézards 2014,France,Côtes Catalanes,Domaine Les Enfants Sauvages,3.9,103,19.4,2014,Côtes Catalanes,France,42.74503,2.896873
One Point Five Cabernet Sauvignon 2016,United States,Stags Leap District,Shafer,4.5,1030,120.01,2016,Stags Leap District,United States,36.578676,-79.389888
Barbaresco 2013,Italy,Barbaresco,Gaja,4.4,1030,199.9,2013,Barbaresco,Italy,44.7254469,8.0806959
Saint-Julien (Grand Cru Classé) 2006,France,Saint-Julien,Château Branaire-Ducru,3.9,1030,59.54,2006,Saint-Julien,France,47.4019947,5.1364639
Médoc 2012,France,Médoc,Château Potensac,3.8,1033,39.69,2012,Médoc,France,49.3524933,6.1542002
Pieve Santa Restituta Brunello di Montalcino 2014,Italy,Brunello di Montalcino,Gaja,4.3,1035,59.9,2014,Brunello di Montalcino,Italy,43.3204995,11.3281859
Gran Maestro Primitivo di Manduria 2017,Italy,Primitivo di Manduria,Maestro Italiano,4.1,1036,9.75,2017,Primitivo di Manduria,Italy,40.4002788,17.6374622
Saint-Julien (Grand Cru Classé) 2011,France,Saint-Julien,Château Léoville Barton,4.2,1037,87.24,2011,Saint-Julien,France,47.4019947,5.1364639
Inferno (Aged in Whiskey Barrels - Limited Release) 2017,United States,California,Apothic,3.8,1037,14.56,2017,California,United States,36.7014631,-118.755997
Pessac-Léognan (Grand Cru Classé de Graves) 2007,France,Pessac-Léognan,Château Pape Clément,4.3,1037,161.1,2007,Pessac-Léognan,France,44.718997,-0.60521
Faithful Hound Red 2015,South Africa,Stellenbosch,Mulderbosch,4.0,1038,14.9,2015,Stellenbosch,South Africa,-33.934444,18.869167
Serego Alighieri Vaio Armaron Amarone della Valpolicella Classico 2012,Italy,Amarone della Valpolicella,Masi,4.3,1039,69.0,2012,Amarone della Valpolicella,Italy,42.83333,12.83333
Rosso di Montalcino 2018,Italy,Rosso di Montalcino,Talenti,3.7,104,14.43,2018,Rosso di Montalcino,Italy,43.055612,11.3592953
Chianti 2017,Italy,Chianti,Sammontana,3.7,104,8.9,2017,Chianti,Italy,43.5824597,11.3168731
Azul 2015,Spain,Ribera del Queiles,Guelbenzu,3.8,104,6.99,2015,Ribera del Queiles,Spain,40.0,-4.0
Sanct Valentin Riserva Pinot Noir 2017,Italy,Südtirol - Alto Adige,St. Michael-Eppan,4.1,104,33.2,2017,Südtirol - Alto Adige,Italy,46.441472,11.282121
Mas Collet Barrica 2009,Spain,Montsant,Capçanes,3.5,104,21.91,2009,Montsant,Spain,41.1171253,1.211005
Valpolicella Ripasso Classico Superiore 2016,Italy,Valpolicella Ripasso Classico,Paolo Cottini,4.0,104,16.9,2016,Valpolicella Ripasso Classico,Italy,42.83333,12.83333
Toscana Poggio Ai Merli 2016,Italy,Toscana,Castellare,4.3,104,69.0,2016,Toscana,Italy,43.4586541,11.1389204
Viña Aljibes Red Blend 2016,Spain,Castilla,Finca Los Aljibes,3.4,104,8.2,2016,Castilla,Spain,40.4763551,-3.6800358
Châteauneuf-du-Pape (La Crau) 2017,France,Châteauneuf-du-Pape,Domaine du Vieux Télégraphe,4.4,104,79.95,2017,Châteauneuf-du-Pape,France,44.055989,4.8317351
Châteauneuf-Du-Pape La Paillousse Terroir D'Exception Rouge 2015,France,Châteauneuf-du-Pape,Pierre Amadieu,4.0,104,26.23,2015,Châteauneuf-du-Pape,France,44.055989,4.8317351
Mencia 2015,Spain,Valdeorras,Viña Costeira,3.2,104,8.28,2015,Valdeorras,Spain,42.3483416,-6.9659982
Santenay Clos de Malte 2016,France,Santenay,Louis Jadot,4.1,104,32.0,2016,Santenay,France,46.9115071,4.6996302
Sudisfà Roero Riserva 2015,Italy,Roero,Negro Angelo,4.1,104,29.9,2015,Roero,Italy,44.7806865,7.9311892
Léa Les Aspres Côtes du Roussillon Rouge 2012,France,Côtes du Roussillon,Domaine Lafage,4.0,104,19.95,2012,Côtes du Roussillon,France,45.3709088,4.8124715
Alleanza 2012,Italy,Toscana,Castello di Gabbiano,4.1,104,26.95,2012,Toscana,Italy,43.4586541,11.1389204
Valpolicella Ripasso Classico Superiore Solane 2015,Italy,Valpolicella Ripasso,Santi,3.7,1040,14.75,2015,Valpolicella Ripasso,Italy,42.83333,12.83333
Crianza 2015,Spain,Binissalem-Mallorca,Bodegas José L. Ferrer,3.8,1040,11.95,2015,Binissalem-Mallorca,Spain,39.6002717,2.6720865
Courela Tinto 2016,Portugal,Alentejano,Cortes de Cima,3.6,1040,5.65,2016,Alentejano,Portugal,38.8421261,-7.5871012
Barbera d'Alba Tre Vigne 2015,Italy,Barbera d'Alba,Vietti,3.8,1040,19.5,2015,Barbera d'Alba,Italy,44.7712158,8.0435811
No Name 2014,Italy,Piemonte,Borgogno,4.0,1041,34.32,2014,Piemonte,Italy,45.060735,7.923549
Rioja Bordón Reserva 2011,Spain,Rioja,Franco-Espanolas,3.8,1045,10.85,2011,Rioja,Spain,42.3285528,-2.4674917
Pian delle Vigne Brunello di Montalcino 2014,Italy,Brunello di Montalcino,Antinori,4.3,1046,45.6,2014,Brunello di Montalcino,Italy,43.3204995,11.3281859
Almiréz 2016,Spain,Toro,Teso La Monja,4.0,1046,14.95,2016,Toro,Spain,41.5216963,-5.3939824
Colheita Seleccionada Rouge 2010,Portugal,Alentejano,Rapariga da Quinta,3.2,1046,11.7,2010,Alentejano,Portugal,38.8421261,-7.5871012
Ammasso Rosso Sicilia 2016,Italy,Sicilia,Barone Montalto,4.2,1047,16.34,2016,Sicilia,Italy,37.587794,14.155048
Côtes du Rhône Nature Rouge 2016,France,Côtes-du-Rhône,Famille Perrin,3.6,1049,10.45,2016,Côtes-du-Rhône,France,44.7667285,4.8528701
Russian River Valley Zinfandel 2015,United States,Russian River Valley,DeLoach,3.5,105,18.49,2015,Russian River Valley,United States,39.2789696,-123.1029778
Saint-Julien (Grand Cru Classé) 2016,France,Saint-Julien,Château Léoville Las Cases,4.6,105,330.45,2016,Saint-Julien,France,47.4019947,5.1364639
Halkidiki Limnio - Merlot 2013,Greece,Chalkidiki,Tsantali,3.2,105,12.49,2013,Chalkidiki,Greece,40.3309627,23.3621462
Pomerol 2015,France,Pomerol,Château l'Ecuyer,4.2,105,43.16,2015,Pomerol,France,44.9311234,-0.1999904
Toar Valpolicella Classico Superiore 2016,Italy,Valpolicella Classico,Masi,3.7,105,15.6,2016,Valpolicella Classico,Italy,42.83333,12.83333
Arbòre Cannonau di Sardegna 2012,Italy,Cannonau di Sardegna,Gabbas,4.0,105,21.9,2012,Cannonau di Sardegna,Italy,40.2568502,9.6218801
Ángeles de Amaren Tempranillo - Graciano 2015,Spain,Rioja,Bodegas Amaren,4.2,105,15.95,2015,Rioja,Spain,42.3285528,-2.4674917
Barbera 2018,Italy,Piemonte,Serre dei Roveri,3.3,105,6.15,2018,Piemonte,Italy,45.060735,7.923549
Amarone della Valpolicella 2006,Italy,Amarone della Valpolicella,Zýmē,4.5,105,96.9,2006,Amarone della Valpolicella,Italy,42.83333,12.83333
Castillo de Jumilla Monastrell - Tempranillo 2018,Spain,Jumilla,Bleda,3.5,105,5.33,2018,Jumilla,Spain,38.4735408,-1.3285417
Hommage Lirac 2016,France,Lirac,Domaine Coudoulis,3.9,105,19.01,2016,Lirac,France,44.0372,4.69136
Poggio d'Arna Toscana 2014,Italy,Toscana,Tenuta di Sesta,3.6,105,12.9,2014,Toscana,Italy,43.4586541,11.1389204
Vinya Le Havre Reserva Cabernet Sauvignon 2013,Spain,Penedès,Jean Leon,4.0,105,25.75,2013,Penedès,Spain,41.3463825,1.6995213
Brunello di Montalcino 2014,Italy,Brunello di Montalcino,Tenute Silvio Nardi,3.8,105,32.75,2014,Brunello di Montalcino,Italy,43.3204995,11.3281859
Sor Ugo Bolgheri Superiore 2017,Italy,Bolgheri Superiore,Aia Vecchia,4.3,105,23.94,2017,Bolgheri Superiore,Italy,44.46006,7.10425
Ses Nines Negre 2018,Spain,Binissalem-Mallorca,Tianna Negre,3.8,105,11.25,2018,Binissalem-Mallorca,Spain,39.6002717,2.6720865
Terrassen Zweigelt Blauer 2018,Austria,Wachau,Domäne Wachau,3.7,105,9.95,2018,Wachau,Austria,47.7286939,16.2263822
Rosso di Montalcino 2018,Italy,Rosso di Montalcino,Ciacci Piccolomini d'Aragona,4.1,105,16.47,2018,Rosso di Montalcino,Italy,43.055612,11.3592953
Riva Ranch Pinot Noir (Reliz Creek) 2017,United States,Arroyo Seco,Wente,3.9,105,24.15,2017,Arroyo Seco,United States,36.5160231,-105.5699891
Altos R Tempranillo 2017,Spain,Rioja,Altos de Rioja,3.4,105,6.9,2017,Rioja,Spain,42.3285528,-2.4674917
Amarone della Valpolicella Classico 2016,Italy,Amarone della Valpolicella Classico,Zenato,4.2,105,43.61,2016,Amarone della Valpolicella Classico,Italy,42.83333,12.83333
Potenti Toscana (Suvereto) 2015,Italy,Toscana,Petra,3.9,105,39.58,2015,Toscana,Italy,43.4586541,11.1389204
Trentatre 33 Rosso 2017,Italy,Salento,Rocca,3.6,105,6.95,2017,Salento,Italy,40.248604,15.190058
Pievasciata Rosso 2016,Italy,Toscana,Vallepicciola,4.1,105,14.9,2016,Toscana,Italy,43.4586541,11.1389204
Brunello di Montalcino 2013,Italy,Brunello di Montalcino,Tenute Silvio Nardi,3.9,1050,35.5,2013,Brunello di Montalcino,Italy,43.3204995,11.3281859
The Barossan Shiraz 2017,Australia,Barossa Valley,Peter Lehmann,3.8,1051,16.48,2017,Barossa Valley,Australia,-34.5817132,138.9987872
