Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,city,country,lat,lng
St. Andrews Shiraz 2016,Australia,Clare Valley,Taylors / Wakefield,4.3,221,20.0,2016,Clare Valley,Australia,-33.7890862,138.590557
Merlot 2015,South Africa,Stellenbosch,Thelema,3.8,221,18.95,2015,Stellenbosch,South Africa,-33.934444,18.869167
Ignaccio Rosso di Montalcino 2015,Italy,Rosso di Montalcino,Il Marroneto,4.0,221,28.17,2015,Rosso di Montalcino,Italy,43.055612,11.3592953
Saint-Émilion Grand Cru 2011,France,Saint-Émilion Grand Cru,Château Pontet-Fumet,3.8,221,19.4,2011,Saint-Émilion Grand Cru,France,44.847147,-0.547337
Cabernet Sauvignon 2016,United States,Napa Valley,Louis M. Martini,4.1,2216,30.43,2016,Napa Valley,United States,38.8484702,-94.413093
Chianti 2018,Italy,Chianti,Tenuta Castiglioni,3.7,2218,9.59,2018,Chianti,Italy,43.5824597,11.3168731
Selección de Familia Reserva 2011,Spain,Rioja,Vivanco,3.9,2218,17.74,2011,Rioja,Spain,42.3285528,-2.4674917
Shiraz 2017,South Africa,Citrusdal Mountain,Cederberg,4.2,222,25.8,2017,Citrusdal Mountain,South Africa,-29.0,24.0
Bandol 2013,France,Bandol,Château Pradeaux,3.8,222,28.95,2013,Bandol,France,43.1357717,5.7523647
Tianna Bocchoris Negre 2017,Spain,Binissalem-Mallorca,Tianna Negre,4.0,222,18.3,2017,Binissalem-Mallorca,Spain,39.6002717,2.6720865
Prazo de Roriz Douro 2017,Portugal,Douro,Prats & Symington (P+S),3.9,222,9.9,2017,Douro,Portugal,41.135684,-7.1166743
Pétalos 2018,Spain,Bierzo,Descendientes de J. Palacios,3.7,222,15.18,2018,Bierzo,Spain,42.60645,-6.8097712
Shiraz 2017,South Africa,Tulbagh,Saronsberg,4.3,222,26.2,2017,Tulbagh,South Africa,-33.285059,19.140667
Molino a Vento Nerello Mascalese 2018,Italy,Terre Siciliane,Tenute Orestiadi,3.7,222,6.32,2018,Terre Siciliane,Italy,42.83333,12.83333
Le Stanze Toscana 2016,Italy,Toscana,Poliziano,4.1,222,39.5,2016,Toscana,Italy,43.4586541,11.1389204
